Year	Month	MeanMaxTemp
1943	5	20.2
1943	6	17.6
1943	7	15.3
1943	8	17.3
1943	9	18.5
1943	10	21.3
1943	11	27.5
1943	12	28.4
1944	1	31.9
1944	2	31.8
1944	3	27.7
1944	4	24
1944	5	18.8
1944	6	19
1944	7	16.7
1944	8	18.5
1944	9	19.2
1944	10	23.2
1944	11	26.1
1944	12	24.7
1945	1	30
1945	2	30.6
1945	3	28.3
1945	4	25.3
1945	5	20
1945	6	16.7
1945	7	16.5
1945	8	16.2
1945	9	17.7
1945	10	22.1
1945	11	25.1
1945	12	28
1946	1	28
1946	2	28.9
1946	3	26.6
1946	4	25.8
1946	5	19.9
1946	6	17.1
1946	7	15.4
1946	8	16.5
1946	9	20.4
1946	10	23.7
1946	11	23.8
1946	12	27.6
1947	1	29.2
1947	2	30.8
1947	3	29.3
1947	4	23.4
1947	5	18.9
1947	6	17.6
1947	7	17.1
1947	8	17.3
1947	9	18.8
1947	10	20.8
1947	11	24.7
1947	12	26.7
1948	1	31.1
1948	2	31.9
1948	3	31.2
1948	4	23.5
1948	5	22.1
1948	6	18.6
1948	7	16.7
1948	8	17.9
1948	9	18.3
1948	10	21.1
1948	11	24.6
1948	12	25.7
1949	1	31.4
1949	2	31.7
1949	3	28.4
1949	4	26
1949	5	21.4
1949	6	19.5
1949	7	17.4
1949	8	18.6
1949	9	20.2
1949	10	20
1949	11	25.4
1949	12	30.1
1950	1	32.4
1950	2	31.3
1950	3	30.9
1950	4	26.6
1950	5	20.3
1950	6	18.9
1950	7	17.4
1950	8	18.1
1950	9	18.6
1950	10	20.5
1950	11	22.4
1950	12	26.6
1951	1	28.2
1951	2	28.6
1951	3	28.8
1951	4	22.6
1951	5	18.9
1951	6	16.9
1951	7	16.2
1951	8	16.4
1951	9	20.2
1951	10	21.3
1951	11	24
1951	12	26.6
1952	1	31.2
1952	2	30.9
1952	3	28.4
1952	4	24.8
1952	5	19.5
1952	6	18.1
1952	7	16.4
1952	8	18
1952	9	18.8
1952	10	20.7
1952	11	23.3
1952	12	25.3
1953	1	30.7
1953	2	30.4
1953	3	28.7
1953	4	24.7
1953	5	20.5
1953	6	16.7
1953	7	16.2
1953	8	17.5
1953	9	20.1
1953	10	19.9
1953	11	23.4
1953	12	27.3
1954	1	30.6
1954	2	31.6
1954	3	27.7
1954	4	23
1954	5	20
1954	6	18
1954	7	17.2
1954	8	17.9
1954	9	20.9
1954	10	23.3
1954	11	22
1954	12	28.2
1955	1	31.8
1955	2	30
1955	3	28.5
1955	4	22.5
1955	5	19.1
1955	6	17
1955	7	17.3
1955	8	16.2
1955	9	18.2
1955	10	19.3
1955	11	24
1955	12	27.7
1956	1	33.3
1956	2	31.7
1956	3	28.7
1956	4	23.6
1956	5	18.5
1956	6	16.4
1956	7	16.8
1956	8	17.2
1956	9	20.2
1956	10	20.2
1956	11	25.2
1956	12	27
1957	1	31.8
